context,target,condition,subject1,object1,object2,item,stim_classname,subject2
"At the store Mom wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,incongruent,Mom,an orange,a dax,55,value_financial,
"At the store Mom wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,incongruent,Mom,an orange,a dax,55,value_financial,
"At the store Mom wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,congruent,Mom,an orange,a blicket,56,value_financial,
"At the store Mom wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,congruent,Mom,an orange,a blicket,56,value_financial,
"At the store Mom wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,incongruent,Mom,an orange,a blicket,56,value_financial,
"At the store Mom wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,incongruent,Mom,an orange,a blicket,56,value_financial,
"At the store Mom wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,congruent,Mom,a pineapple,a dax,57,value_financial,
"At the store Mom wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,congruent,Mom,a pineapple,a dax,57,value_financial,
"At the store Mom wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,incongruent,Mom,a pineapple,a dax,57,value_financial,
"At the store Mom wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,incongruent,Mom,a pineapple,a dax,57,value_financial,
"At the store Mom wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,congruent,Mom,a pineapple,a blicket,58,value_financial,
"At the store Mom wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,congruent,Mom,a pineapple,a blicket,58,value_financial,
"At the store Mom wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,incongruent,Mom,a pineapple,a blicket,58,value_financial,
"At the store Mom wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,incongruent,Mom,a pineapple,a blicket,58,value_financial,
"At the store Mom wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,congruent,Mom,a dax,a blicket,59,value_financial,
"At the store Mom wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,congruent,Mom,a dax,a blicket,59,value_financial,
"At the store Mom wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,incongruent,Mom,a dax,a blicket,59,value_financial,
"At the store Mom wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,incongruent,Mom,a dax,a blicket,59,value_financial,
"At the store Dad wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,congruent,Dad,an apple,an orange,60,value_financial,
"At the store Dad wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,congruent,Dad,an apple,an orange,60,value_financial,
"At the store Dad wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,incongruent,Dad,an apple,an orange,60,value_financial,
"At the store Dad wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,incongruent,Dad,an apple,an orange,60,value_financial,
"At the store Dad wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,congruent,Dad,an apple,a pineapple,61,value_financial,
"At the store Dad wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,congruent,Dad,an apple,a pineapple,61,value_financial,
"At the store Dad wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,incongruent,Dad,an apple,a pineapple,61,value_financial,
"At the store Dad wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,incongruent,Dad,an apple,a pineapple,61,value_financial,
"At the store Dad wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,congruent,Dad,an apple,a dax,62,value_financial,
"At the store Dad wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,congruent,Dad,an apple,a dax,62,value_financial,
"At the store Dad wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,incongruent,Dad,an apple,a dax,62,value_financial,
"At the store Dad wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,incongruent,Dad,an apple,a dax,62,value_financial,
"At the store Dad wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,congruent,Dad,an apple,a blicket,63,value_financial,
"At the store Dad wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,congruent,Dad,an apple,a blicket,63,value_financial,
"At the store Dad wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,incongruent,Dad,an apple,a blicket,63,value_financial,
"At the store Dad wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,incongruent,Dad,an apple,a blicket,63,value_financial,
"At the store Dad wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,congruent,Dad,an orange,a pineapple,64,value_financial,
"At the store Dad wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,congruent,Dad,an orange,a pineapple,64,value_financial,
"At the store Dad wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,incongruent,Dad,an orange,a pineapple,64,value_financial,
"At the store Dad wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,incongruent,Dad,an orange,a pineapple,64,value_financial,
"At the store Dad wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,congruent,Dad,an orange,a dax,65,value_financial,
"At the store Dad wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,congruent,Dad,an orange,a dax,65,value_financial,
"At the store Dad wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,incongruent,Dad,an orange,a dax,65,value_financial,
"At the store Dad wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,incongruent,Dad,an orange,a dax,65,value_financial,
"At the store Dad wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,congruent,Dad,an orange,a blicket,66,value_financial,
"At the store Dad wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,congruent,Dad,an orange,a blicket,66,value_financial,
"At the store Dad wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,incongruent,Dad,an orange,a blicket,66,value_financial,
"At the store Dad wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,incongruent,Dad,an orange,a blicket,66,value_financial,
"At the store Dad wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,congruent,Dad,a pineapple,a dax,67,value_financial,
"At the store Dad wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,congruent,Dad,a pineapple,a dax,67,value_financial,
"At the store Dad wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,incongruent,Dad,a pineapple,a dax,67,value_financial,
"At the store Dad wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,incongruent,Dad,a pineapple,a dax,67,value_financial,
"At the store Dad wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,congruent,Dad,a pineapple,a blicket,68,value_financial,
"At the store Dad wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,congruent,Dad,a pineapple,a blicket,68,value_financial,
"At the store Dad wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,incongruent,Dad,a pineapple,a blicket,68,value_financial,
"At the store Dad wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,incongruent,Dad,a pineapple,a blicket,68,value_financial,
"At the store Dad wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,congruent,Dad,a dax,a blicket,69,value_financial,
"At the store Dad wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,congruent,Dad,a dax,a blicket,69,value_financial,
"At the store Dad wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,incongruent,Dad,a dax,a blicket,69,value_financial,
"At the store Dad wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,incongruent,Dad,a dax,a blicket,69,value_financial,
Barack Obama gave Alice a choice of gifts between a thermos or a mug. Alice picked a thermos.,Alice valued a thermos more than a mug.,congruent,Alice,a thermos,a mug,0,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a mug. Alice picked a mug.,Alice valued a mug more than a thermos.,congruent,Alice,a thermos,a mug,0,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a mug. Alice picked a thermos.,Alice valued a mug more than a thermos.,incongruent,Alice,a thermos,a mug,0,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a mug. Alice picked a mug.,Alice valued a thermos more than a mug.,incongruent,Alice,a thermos,a mug,0,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a watch. Alice picked a thermos.,Alice valued a thermos more than a watch.,congruent,Alice,a thermos,a watch,1,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a watch. Alice picked a watch.,Alice valued a watch more than a thermos.,congruent,Alice,a thermos,a watch,1,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a watch. Alice picked a thermos.,Alice valued a watch more than a thermos.,incongruent,Alice,a thermos,a watch,1,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a watch. Alice picked a watch.,Alice valued a thermos more than a watch.,incongruent,Alice,a thermos,a watch,1,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a dax. Alice picked a thermos.,Alice valued a thermos more than a dax.,congruent,Alice,a thermos,a dax,2,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a dax. Alice picked a dax.,Alice valued a dax more than a thermos.,congruent,Alice,a thermos,a dax,2,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a dax. Alice picked a thermos.,Alice valued a dax more than a thermos.,incongruent,Alice,a thermos,a dax,2,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a dax. Alice picked a dax.,Alice valued a thermos more than a dax.,incongruent,Alice,a thermos,a dax,2,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a blicket. Alice picked a thermos.,Alice valued a thermos more than a blicket.,congruent,Alice,a thermos,a blicket,3,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a blicket. Alice picked a blicket.,Alice valued a blicket more than a thermos.,congruent,Alice,a thermos,a blicket,3,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a blicket. Alice picked a thermos.,Alice valued a blicket more than a thermos.,incongruent,Alice,a thermos,a blicket,3,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a thermos or a blicket. Alice picked a blicket.,Alice valued a thermos more than a blicket.,incongruent,Alice,a thermos,a blicket,3,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a watch. Alice picked a mug.,Alice valued a mug more than a watch.,congruent,Alice,a mug,a watch,4,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a watch. Alice picked a watch.,Alice valued a watch more than a mug.,congruent,Alice,a mug,a watch,4,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a watch. Alice picked a mug.,Alice valued a watch more than a mug.,incongruent,Alice,a mug,a watch,4,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a watch. Alice picked a watch.,Alice valued a mug more than a watch.,incongruent,Alice,a mug,a watch,4,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a dax. Alice picked a mug.,Alice valued a mug more than a dax.,congruent,Alice,a mug,a dax,5,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a dax. Alice picked a dax.,Alice valued a dax more than a mug.,congruent,Alice,a mug,a dax,5,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a dax. Alice picked a mug.,Alice valued a dax more than a mug.,incongruent,Alice,a mug,a dax,5,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a dax. Alice picked a dax.,Alice valued a mug more than a dax.,incongruent,Alice,a mug,a dax,5,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a blicket. Alice picked a mug.,Alice valued a mug more than a blicket.,congruent,Alice,a mug,a blicket,6,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a blicket. Alice picked a blicket.,Alice valued a blicket more than a mug.,congruent,Alice,a mug,a blicket,6,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a blicket. Alice picked a mug.,Alice valued a blicket more than a mug.,incongruent,Alice,a mug,a blicket,6,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a mug or a blicket. Alice picked a blicket.,Alice valued a mug more than a blicket.,incongruent,Alice,a mug,a blicket,6,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a dax. Alice picked a watch.,Alice valued a watch more than a dax.,congruent,Alice,a watch,a dax,7,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a dax. Alice picked a dax.,Alice valued a dax more than a watch.,congruent,Alice,a watch,a dax,7,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a dax. Alice picked a watch.,Alice valued a dax more than a watch.,incongruent,Alice,a watch,a dax,7,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a dax. Alice picked a dax.,Alice valued a watch more than a dax.,incongruent,Alice,a watch,a dax,7,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a blicket. Alice picked a watch.,Alice valued a watch more than a blicket.,congruent,Alice,a watch,a blicket,8,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a blicket. Alice picked a blicket.,Alice valued a blicket more than a watch.,congruent,Alice,a watch,a blicket,8,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a blicket. Alice picked a watch.,Alice valued a blicket more than a watch.,incongruent,Alice,a watch,a blicket,8,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a watch or a blicket. Alice picked a blicket.,Alice valued a watch more than a blicket.,incongruent,Alice,a watch,a blicket,8,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a dax or a blicket. Alice picked a dax.,Alice valued a dax more than a blicket.,congruent,Alice,a dax,a blicket,9,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a dax or a blicket. Alice picked a blicket.,Alice valued a blicket more than a dax.,congruent,Alice,a dax,a blicket,9,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a dax or a blicket. Alice picked a dax.,Alice valued a blicket more than a dax.,incongruent,Alice,a dax,a blicket,9,value_subjective,Barack Obama
Barack Obama gave Alice a choice of gifts between a dax or a blicket. Alice picked a blicket.,Alice valued a dax more than a blicket.,incongruent,Alice,a dax,a blicket,9,value_subjective,Barack Obama
Donald Trump gave Alice a choice of gifts between a thermos or a mug. Alice picked a thermos.,Alice valued a thermos more than a mug.,congruent,Alice,a thermos,a mug,10,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a mug. Alice picked a mug.,Alice valued a mug more than a thermos.,congruent,Alice,a thermos,a mug,10,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a mug. Alice picked a thermos.,Alice valued a mug more than a thermos.,incongruent,Alice,a thermos,a mug,10,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a mug. Alice picked a mug.,Alice valued a thermos more than a mug.,incongruent,Alice,a thermos,a mug,10,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a watch. Alice picked a thermos.,Alice valued a thermos more than a watch.,congruent,Alice,a thermos,a watch,11,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a watch. Alice picked a watch.,Alice valued a watch more than a thermos.,congruent,Alice,a thermos,a watch,11,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a watch. Alice picked a thermos.,Alice valued a watch more than a thermos.,incongruent,Alice,a thermos,a watch,11,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a watch. Alice picked a watch.,Alice valued a thermos more than a watch.,incongruent,Alice,a thermos,a watch,11,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a dax. Alice picked a thermos.,Alice valued a thermos more than a dax.,congruent,Alice,a thermos,a dax,12,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a dax. Alice picked a dax.,Alice valued a dax more than a thermos.,congruent,Alice,a thermos,a dax,12,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a dax. Alice picked a thermos.,Alice valued a dax more than a thermos.,incongruent,Alice,a thermos,a dax,12,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a dax. Alice picked a dax.,Alice valued a thermos more than a dax.,incongruent,Alice,a thermos,a dax,12,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a blicket. Alice picked a thermos.,Alice valued a thermos more than a blicket.,congruent,Alice,a thermos,a blicket,13,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a blicket. Alice picked a blicket.,Alice valued a blicket more than a thermos.,congruent,Alice,a thermos,a blicket,13,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a blicket. Alice picked a thermos.,Alice valued a blicket more than a thermos.,incongruent,Alice,a thermos,a blicket,13,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a thermos or a blicket. Alice picked a blicket.,Alice valued a thermos more than a blicket.,incongruent,Alice,a thermos,a blicket,13,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a watch. Alice picked a mug.,Alice valued a mug more than a watch.,congruent,Alice,a mug,a watch,14,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a watch. Alice picked a watch.,Alice valued a watch more than a mug.,congruent,Alice,a mug,a watch,14,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a watch. Alice picked a mug.,Alice valued a watch more than a mug.,incongruent,Alice,a mug,a watch,14,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a watch. Alice picked a watch.,Alice valued a mug more than a watch.,incongruent,Alice,a mug,a watch,14,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a dax. Alice picked a mug.,Alice valued a mug more than a dax.,congruent,Alice,a mug,a dax,15,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a dax. Alice picked a dax.,Alice valued a dax more than a mug.,congruent,Alice,a mug,a dax,15,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a dax. Alice picked a mug.,Alice valued a dax more than a mug.,incongruent,Alice,a mug,a dax,15,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a dax. Alice picked a dax.,Alice valued a mug more than a dax.,incongruent,Alice,a mug,a dax,15,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a blicket. Alice picked a mug.,Alice valued a mug more than a blicket.,congruent,Alice,a mug,a blicket,16,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a blicket. Alice picked a blicket.,Alice valued a blicket more than a mug.,congruent,Alice,a mug,a blicket,16,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a blicket. Alice picked a mug.,Alice valued a blicket more than a mug.,incongruent,Alice,a mug,a blicket,16,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a mug or a blicket. Alice picked a blicket.,Alice valued a mug more than a blicket.,incongruent,Alice,a mug,a blicket,16,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a dax. Alice picked a watch.,Alice valued a watch more than a dax.,congruent,Alice,a watch,a dax,17,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a dax. Alice picked a dax.,Alice valued a dax more than a watch.,congruent,Alice,a watch,a dax,17,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a dax. Alice picked a watch.,Alice valued a dax more than a watch.,incongruent,Alice,a watch,a dax,17,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a dax. Alice picked a dax.,Alice valued a watch more than a dax.,incongruent,Alice,a watch,a dax,17,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a blicket. Alice picked a watch.,Alice valued a watch more than a blicket.,congruent,Alice,a watch,a blicket,18,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a blicket. Alice picked a blicket.,Alice valued a blicket more than a watch.,congruent,Alice,a watch,a blicket,18,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a blicket. Alice picked a watch.,Alice valued a blicket more than a watch.,incongruent,Alice,a watch,a blicket,18,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a watch or a blicket. Alice picked a blicket.,Alice valued a watch more than a blicket.,incongruent,Alice,a watch,a blicket,18,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a dax or a blicket. Alice picked a dax.,Alice valued a dax more than a blicket.,congruent,Alice,a dax,a blicket,19,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a dax or a blicket. Alice picked a blicket.,Alice valued a blicket more than a dax.,congruent,Alice,a dax,a blicket,19,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a dax or a blicket. Alice picked a dax.,Alice valued a blicket more than a dax.,incongruent,Alice,a dax,a blicket,19,value_subjective,Donald Trump
Donald Trump gave Alice a choice of gifts between a dax or a blicket. Alice picked a blicket.,Alice valued a dax more than a blicket.,incongruent,Alice,a dax,a blicket,19,value_subjective,Donald Trump
Mom gave Alice a choice of gifts between a thermos or a mug. Alice picked a thermos.,Alice valued a thermos more than a mug.,congruent,Alice,a thermos,a mug,20,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a mug. Alice picked a mug.,Alice valued a mug more than a thermos.,congruent,Alice,a thermos,a mug,20,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a mug. Alice picked a thermos.,Alice valued a mug more than a thermos.,incongruent,Alice,a thermos,a mug,20,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a mug. Alice picked a mug.,Alice valued a thermos more than a mug.,incongruent,Alice,a thermos,a mug,20,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a watch. Alice picked a thermos.,Alice valued a thermos more than a watch.,congruent,Alice,a thermos,a watch,21,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a watch. Alice picked a watch.,Alice valued a watch more than a thermos.,congruent,Alice,a thermos,a watch,21,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a watch. Alice picked a thermos.,Alice valued a watch more than a thermos.,incongruent,Alice,a thermos,a watch,21,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a watch. Alice picked a watch.,Alice valued a thermos more than a watch.,incongruent,Alice,a thermos,a watch,21,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a dax. Alice picked a thermos.,Alice valued a thermos more than a dax.,congruent,Alice,a thermos,a dax,22,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a dax. Alice picked a dax.,Alice valued a dax more than a thermos.,congruent,Alice,a thermos,a dax,22,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a dax. Alice picked a thermos.,Alice valued a dax more than a thermos.,incongruent,Alice,a thermos,a dax,22,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a dax. Alice picked a dax.,Alice valued a thermos more than a dax.,incongruent,Alice,a thermos,a dax,22,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a blicket. Alice picked a thermos.,Alice valued a thermos more than a blicket.,congruent,Alice,a thermos,a blicket,23,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a blicket. Alice picked a blicket.,Alice valued a blicket more than a thermos.,congruent,Alice,a thermos,a blicket,23,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a blicket. Alice picked a thermos.,Alice valued a blicket more than a thermos.,incongruent,Alice,a thermos,a blicket,23,value_subjective,Mom
Mom gave Alice a choice of gifts between a thermos or a blicket. Alice picked a blicket.,Alice valued a thermos more than a blicket.,incongruent,Alice,a thermos,a blicket,23,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a watch. Alice picked a mug.,Alice valued a mug more than a watch.,congruent,Alice,a mug,a watch,24,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a watch. Alice picked a watch.,Alice valued a watch more than a mug.,congruent,Alice,a mug,a watch,24,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a watch. Alice picked a mug.,Alice valued a watch more than a mug.,incongruent,Alice,a mug,a watch,24,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a watch. Alice picked a watch.,Alice valued a mug more than a watch.,incongruent,Alice,a mug,a watch,24,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a dax. Alice picked a mug.,Alice valued a mug more than a dax.,congruent,Alice,a mug,a dax,25,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a dax. Alice picked a dax.,Alice valued a dax more than a mug.,congruent,Alice,a mug,a dax,25,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a dax. Alice picked a mug.,Alice valued a dax more than a mug.,incongruent,Alice,a mug,a dax,25,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a dax. Alice picked a dax.,Alice valued a mug more than a dax.,incongruent,Alice,a mug,a dax,25,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a blicket. Alice picked a mug.,Alice valued a mug more than a blicket.,congruent,Alice,a mug,a blicket,26,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a blicket. Alice picked a blicket.,Alice valued a blicket more than a mug.,congruent,Alice,a mug,a blicket,26,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a blicket. Alice picked a mug.,Alice valued a blicket more than a mug.,incongruent,Alice,a mug,a blicket,26,value_subjective,Mom
Mom gave Alice a choice of gifts between a mug or a blicket. Alice picked a blicket.,Alice valued a mug more than a blicket.,incongruent,Alice,a mug,a blicket,26,value_subjective,Mom
Mom gave Alice a choice of gifts between a watch or a dax. Alice picked a watch.,Alice valued a watch more than a dax.,congruent,Alice,a watch,a dax,27,value_subjective,Mom
Mom gave Alice a choice of gifts between a watch or a dax. Alice picked a dax.,Alice valued a dax more than a watch.,congruent,Alice,a watch,a dax,27,value_subjective,Mom
Mom gave Alice a choice of gifts between a watch or a dax. Alice picked a watch.,Alice valued a dax more than a watch.,incongruent,Alice,a watch,a dax,27,value_subjective,Mom
Mom gave Alice a choice of gifts between a watch or a dax. Alice picked a dax.,Alice valued a watch more than a dax.,incongruent,Alice,a watch,a dax,27,value_subjective,Mom
