context,target,condition,subject1,subject2,directness,item,stim_classname
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is insulting Dad.,Donald Trump is being considerate towards Dad.,incongruent,Donald Trump,Dad,direct,40,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is respecting Dad.,Mom is being considerate towards Dad.,congruent,Mom,Dad,direct,41,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is insulting Dad.,Mom is saying hurtful things about Dad.,congruent,Mom,Dad,direct,41,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is respecting Dad.,Mom is saying hurtful things about Dad.,incongruent,Mom,Dad,direct,41,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is insulting Dad.,Mom is being considerate towards Dad.,incongruent,Mom,Dad,direct,41,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is teasing Bob.,Alice is playfully mentioning an embarrassing thing that Bob did.,congruent,Alice,Bob,indirect,0,teasing_comforting
Alice and Bob are sitting at a table having a conversation. Alice is comforting Bob.,Alice is patting Bob on the shoulder as Bob cries.,congruent,Alice,Bob,indirect,0,teasing_comforting
Alice and Bob are sitting at a table having a conversation. Alice is teasing Bob.,Alice is patting Bob on the shoulder as Bob cries.,incongruent,Alice,Bob,indirect,0,teasing_comforting
Alice and Bob are sitting at a table having a conversation. Alice is comforting Bob.,Alice is playfully mentioning an embarrassing thing that Bob did.,incongruent,Alice,Bob,indirect,0,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is teasing Charlie.,Alice is playfully mentioning an embarrassing thing that Charlie did.,congruent,Alice,Charlie,indirect,1,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is comforting Charlie.,Alice is patting Charlie on the shoulder as Charlie cries.,congruent,Alice,Charlie,indirect,1,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is teasing Charlie.,Alice is patting Charlie on the shoulder as Charlie cries.,incongruent,Alice,Charlie,indirect,1,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is comforting Charlie.,Alice is playfully mentioning an embarrassing thing that Charlie did.,incongruent,Alice,Charlie,indirect,1,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is teasing Barack Obama.,Alice is playfully mentioning an embarrassing thing that Barack Obama did.,congruent,Alice,Barack Obama,indirect,2,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is comforting Barack Obama.,Alice is patting Barack Obama on the shoulder as Barack Obama cries.,congruent,Alice,Barack Obama,indirect,2,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is teasing Barack Obama.,Alice is patting Barack Obama on the shoulder as Barack Obama cries.,incongruent,Alice,Barack Obama,indirect,2,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is comforting Barack Obama.,Alice is playfully mentioning an embarrassing thing that Barack Obama did.,incongruent,Alice,Barack Obama,indirect,2,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is teasing Donald Trump.,Alice is playfully mentioning an embarrassing thing that Donald Trump did.,congruent,Alice,Donald Trump,indirect,3,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is comforting Donald Trump.,Alice is patting Donald Trump on the shoulder as Donald Trump cries.,congruent,Alice,Donald Trump,indirect,3,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is teasing Donald Trump.,Alice is patting Donald Trump on the shoulder as Donald Trump cries.,incongruent,Alice,Donald Trump,indirect,3,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is comforting Donald Trump.,Alice is playfully mentioning an embarrassing thing that Donald Trump did.,incongruent,Alice,Donald Trump,indirect,3,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is teasing Mom.,Alice is playfully mentioning an embarrassing thing that Mom did.,congruent,Alice,Mom,indirect,4,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is comforting Mom.,Alice is patting Mom on the shoulder as Mom cries.,congruent,Alice,Mom,indirect,4,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is teasing Mom.,Alice is patting Mom on the shoulder as Mom cries.,incongruent,Alice,Mom,indirect,4,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is comforting Mom.,Alice is playfully mentioning an embarrassing thing that Mom did.,incongruent,Alice,Mom,indirect,4,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is teasing Dad.,Alice is playfully mentioning an embarrassing thing that Dad did.,congruent,Alice,Dad,indirect,5,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is comforting Dad.,Alice is patting Dad on the shoulder as Dad cries.,congruent,Alice,Dad,indirect,5,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is teasing Dad.,Alice is patting Dad on the shoulder as Dad cries.,incongruent,Alice,Dad,indirect,5,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is comforting Dad.,Alice is playfully mentioning an embarrassing thing that Dad did.,incongruent,Alice,Dad,indirect,5,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is teasing Charlie.,Bob is playfully mentioning an embarrassing thing that Charlie did.,congruent,Bob,Charlie,indirect,6,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is comforting Charlie.,Bob is patting Charlie on the shoulder as Charlie cries.,congruent,Bob,Charlie,indirect,6,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is teasing Charlie.,Bob is patting Charlie on the shoulder as Charlie cries.,incongruent,Bob,Charlie,indirect,6,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is comforting Charlie.,Bob is playfully mentioning an embarrassing thing that Charlie did.,incongruent,Bob,Charlie,indirect,6,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is teasing Barack Obama.,Bob is playfully mentioning an embarrassing thing that Barack Obama did.,congruent,Bob,Barack Obama,indirect,7,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is comforting Barack Obama.,Bob is patting Barack Obama on the shoulder as Barack Obama cries.,congruent,Bob,Barack Obama,indirect,7,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is teasing Barack Obama.,Bob is patting Barack Obama on the shoulder as Barack Obama cries.,incongruent,Bob,Barack Obama,indirect,7,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is comforting Barack Obama.,Bob is playfully mentioning an embarrassing thing that Barack Obama did.,incongruent,Bob,Barack Obama,indirect,7,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is teasing Donald Trump.,Bob is playfully mentioning an embarrassing thing that Donald Trump did.,congruent,Bob,Donald Trump,indirect,8,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is comforting Donald Trump.,Bob is patting Donald Trump on the shoulder as Donald Trump cries.,congruent,Bob,Donald Trump,indirect,8,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is teasing Donald Trump.,Bob is patting Donald Trump on the shoulder as Donald Trump cries.,incongruent,Bob,Donald Trump,indirect,8,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is comforting Donald Trump.,Bob is playfully mentioning an embarrassing thing that Donald Trump did.,incongruent,Bob,Donald Trump,indirect,8,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is teasing Mom.,Bob is playfully mentioning an embarrassing thing that Mom did.,congruent,Bob,Mom,indirect,9,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is comforting Mom.,Bob is patting Mom on the shoulder as Mom cries.,congruent,Bob,Mom,indirect,9,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is teasing Mom.,Bob is patting Mom on the shoulder as Mom cries.,incongruent,Bob,Mom,indirect,9,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is comforting Mom.,Bob is playfully mentioning an embarrassing thing that Mom did.,incongruent,Bob,Mom,indirect,9,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is teasing Dad.,Bob is playfully mentioning an embarrassing thing that Dad did.,congruent,Bob,Dad,indirect,10,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is comforting Dad.,Bob is patting Dad on the shoulder as Dad cries.,congruent,Bob,Dad,indirect,10,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is teasing Dad.,Bob is patting Dad on the shoulder as Dad cries.,incongruent,Bob,Dad,indirect,10,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is comforting Dad.,Bob is playfully mentioning an embarrassing thing that Dad did.,incongruent,Bob,Dad,indirect,10,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is teasing Barack Obama.,Charlie is playfully mentioning an embarrassing thing that Barack Obama did.,congruent,Charlie,Barack Obama,indirect,11,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is comforting Barack Obama.,Charlie is patting Barack Obama on the shoulder as Barack Obama cries.,congruent,Charlie,Barack Obama,indirect,11,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is teasing Barack Obama.,Charlie is patting Barack Obama on the shoulder as Barack Obama cries.,incongruent,Charlie,Barack Obama,indirect,11,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is comforting Barack Obama.,Charlie is playfully mentioning an embarrassing thing that Barack Obama did.,incongruent,Charlie,Barack Obama,indirect,11,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is teasing Donald Trump.,Charlie is playfully mentioning an embarrassing thing that Donald Trump did.,congruent,Charlie,Donald Trump,indirect,12,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is comforting Donald Trump.,Charlie is patting Donald Trump on the shoulder as Donald Trump cries.,congruent,Charlie,Donald Trump,indirect,12,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is teasing Donald Trump.,Charlie is patting Donald Trump on the shoulder as Donald Trump cries.,incongruent,Charlie,Donald Trump,indirect,12,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is comforting Donald Trump.,Charlie is playfully mentioning an embarrassing thing that Donald Trump did.,incongruent,Charlie,Donald Trump,indirect,12,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is teasing Mom.,Charlie is playfully mentioning an embarrassing thing that Mom did.,congruent,Charlie,Mom,indirect,13,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is comforting Mom.,Charlie is patting Mom on the shoulder as Mom cries.,congruent,Charlie,Mom,indirect,13,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is teasing Mom.,Charlie is patting Mom on the shoulder as Mom cries.,incongruent,Charlie,Mom,indirect,13,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is comforting Mom.,Charlie is playfully mentioning an embarrassing thing that Mom did.,incongruent,Charlie,Mom,indirect,13,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is teasing Dad.,Charlie is playfully mentioning an embarrassing thing that Dad did.,congruent,Charlie,Dad,indirect,14,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is comforting Dad.,Charlie is patting Dad on the shoulder as Dad cries.,congruent,Charlie,Dad,indirect,14,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is teasing Dad.,Charlie is patting Dad on the shoulder as Dad cries.,incongruent,Charlie,Dad,indirect,14,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is comforting Dad.,Charlie is playfully mentioning an embarrassing thing that Dad did.,incongruent,Charlie,Dad,indirect,14,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is teasing Donald Trump.,Barack Obama is playfully mentioning an embarrassing thing that Donald Trump did.,congruent,Barack Obama,Donald Trump,indirect,15,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is comforting Donald Trump.,Barack Obama is patting Donald Trump on the shoulder as Donald Trump cries.,congruent,Barack Obama,Donald Trump,indirect,15,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is teasing Donald Trump.,Barack Obama is patting Donald Trump on the shoulder as Donald Trump cries.,incongruent,Barack Obama,Donald Trump,indirect,15,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is comforting Donald Trump.,Barack Obama is playfully mentioning an embarrassing thing that Donald Trump did.,incongruent,Barack Obama,Donald Trump,indirect,15,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is teasing Mom.,Barack Obama is playfully mentioning an embarrassing thing that Mom did.,congruent,Barack Obama,Mom,indirect,16,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is comforting Mom.,Barack Obama is patting Mom on the shoulder as Mom cries.,congruent,Barack Obama,Mom,indirect,16,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is teasing Mom.,Barack Obama is patting Mom on the shoulder as Mom cries.,incongruent,Barack Obama,Mom,indirect,16,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is comforting Mom.,Barack Obama is playfully mentioning an embarrassing thing that Mom did.,incongruent,Barack Obama,Mom,indirect,16,teasing_comforting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is teasing Dad.,Barack Obama is playfully mentioning an embarrassing thing that Dad did.,congruent,Barack Obama,Dad,indirect,17,teasing_comforting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is comforting Dad.,Barack Obama is patting Dad on the shoulder as Dad cries.,congruent,Barack Obama,Dad,indirect,17,teasing_comforting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is teasing Dad.,Barack Obama is patting Dad on the shoulder as Dad cries.,incongruent,Barack Obama,Dad,indirect,17,teasing_comforting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is comforting Dad.,Barack Obama is playfully mentioning an embarrassing thing that Dad did.,incongruent,Barack Obama,Dad,indirect,17,teasing_comforting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is teasing Mom.,Donald Trump is playfully mentioning an embarrassing thing that Mom did.,congruent,Donald Trump,Mom,indirect,18,teasing_comforting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is comforting Mom.,Donald Trump is patting Mom on the shoulder as Mom cries.,congruent,Donald Trump,Mom,indirect,18,teasing_comforting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is teasing Mom.,Donald Trump is patting Mom on the shoulder as Mom cries.,incongruent,Donald Trump,Mom,indirect,18,teasing_comforting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is comforting Mom.,Donald Trump is playfully mentioning an embarrassing thing that Mom did.,incongruent,Donald Trump,Mom,indirect,18,teasing_comforting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is teasing Dad.,Donald Trump is playfully mentioning an embarrassing thing that Dad did.,congruent,Donald Trump,Dad,indirect,19,teasing_comforting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is comforting Dad.,Donald Trump is patting Dad on the shoulder as Dad cries.,congruent,Donald Trump,Dad,indirect,19,teasing_comforting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is teasing Dad.,Donald Trump is patting Dad on the shoulder as Dad cries.,incongruent,Donald Trump,Dad,indirect,19,teasing_comforting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is comforting Dad.,Donald Trump is playfully mentioning an embarrassing thing that Dad did.,incongruent,Donald Trump,Dad,indirect,19,teasing_comforting
Mom and Dad are sitting at a table having a conversation. Mom is teasing Dad.,Mom is playfully mentioning an embarrassing thing that Dad did.,congruent,Mom,Dad,indirect,20,teasing_comforting
Mom and Dad are sitting at a table having a conversation. Mom is comforting Dad.,Mom is patting Dad on the shoulder as Dad cries.,congruent,Mom,Dad,indirect,20,teasing_comforting
Mom and Dad are sitting at a table having a conversation. Mom is teasing Dad.,Mom is patting Dad on the shoulder as Dad cries.,incongruent,Mom,Dad,indirect,20,teasing_comforting
Mom and Dad are sitting at a table having a conversation. Mom is comforting Dad.,Mom is playfully mentioning an embarrassing thing that Dad did.,incongruent,Mom,Dad,indirect,20,teasing_comforting
Alice and Bob are sitting at a table having a conversation. Alice is teasing Bob.,Alice is making light-hearted jokes at Bob’s expense.,congruent,Alice,Bob,direct,21,teasing_comforting
Alice and Bob are sitting at a table having a conversation. Alice is comforting Bob.,Alice is trying to make Bob feel better.,congruent,Alice,Bob,direct,21,teasing_comforting
Alice and Bob are sitting at a table having a conversation. Alice is teasing Bob.,Alice is trying to make Bob feel better.,incongruent,Alice,Bob,direct,21,teasing_comforting
Alice and Bob are sitting at a table having a conversation. Alice is comforting Bob.,Alice is making light-hearted jokes at Bob’s expense.,incongruent,Alice,Bob,direct,21,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is teasing Charlie.,Alice is making light-hearted jokes at Charlie’s expense.,congruent,Alice,Charlie,direct,22,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is comforting Charlie.,Alice is trying to make Charlie feel better.,congruent,Alice,Charlie,direct,22,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is teasing Charlie.,Alice is trying to make Charlie feel better.,incongruent,Alice,Charlie,direct,22,teasing_comforting
Alice and Charlie are sitting at a table having a conversation. Alice is comforting Charlie.,Alice is making light-hearted jokes at Charlie’s expense.,incongruent,Alice,Charlie,direct,22,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is teasing Barack Obama.,Alice is making light-hearted jokes at Barack Obama’s expense.,congruent,Alice,Barack Obama,direct,23,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is comforting Barack Obama.,Alice is trying to make Barack Obama feel better.,congruent,Alice,Barack Obama,direct,23,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is teasing Barack Obama.,Alice is trying to make Barack Obama feel better.,incongruent,Alice,Barack Obama,direct,23,teasing_comforting
Alice and Barack Obama are sitting at a table having a conversation. Alice is comforting Barack Obama.,Alice is making light-hearted jokes at Barack Obama’s expense.,incongruent,Alice,Barack Obama,direct,23,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is teasing Donald Trump.,Alice is making light-hearted jokes at Donald Trump’s expense.,congruent,Alice,Donald Trump,direct,24,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is comforting Donald Trump.,Alice is trying to make Donald Trump feel better.,congruent,Alice,Donald Trump,direct,24,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is teasing Donald Trump.,Alice is trying to make Donald Trump feel better.,incongruent,Alice,Donald Trump,direct,24,teasing_comforting
Alice and Donald Trump are sitting at a table having a conversation. Alice is comforting Donald Trump.,Alice is making light-hearted jokes at Donald Trump’s expense.,incongruent,Alice,Donald Trump,direct,24,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is teasing Mom.,Alice is making light-hearted jokes at Mom’s expense.,congruent,Alice,Mom,direct,25,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is comforting Mom.,Alice is trying to make Mom feel better.,congruent,Alice,Mom,direct,25,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is teasing Mom.,Alice is trying to make Mom feel better.,incongruent,Alice,Mom,direct,25,teasing_comforting
Alice and Mom are sitting at a table having a conversation. Alice is comforting Mom.,Alice is making light-hearted jokes at Mom’s expense.,incongruent,Alice,Mom,direct,25,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is teasing Dad.,Alice is making light-hearted jokes at Dad’s expense.,congruent,Alice,Dad,direct,26,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is comforting Dad.,Alice is trying to make Dad feel better.,congruent,Alice,Dad,direct,26,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is teasing Dad.,Alice is trying to make Dad feel better.,incongruent,Alice,Dad,direct,26,teasing_comforting
Alice and Dad are sitting at a table having a conversation. Alice is comforting Dad.,Alice is making light-hearted jokes at Dad’s expense.,incongruent,Alice,Dad,direct,26,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is teasing Charlie.,Bob is making light-hearted jokes at Charlie’s expense.,congruent,Bob,Charlie,direct,27,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is comforting Charlie.,Bob is trying to make Charlie feel better.,congruent,Bob,Charlie,direct,27,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is teasing Charlie.,Bob is trying to make Charlie feel better.,incongruent,Bob,Charlie,direct,27,teasing_comforting
Bob and Charlie are sitting at a table having a conversation. Bob is comforting Charlie.,Bob is making light-hearted jokes at Charlie’s expense.,incongruent,Bob,Charlie,direct,27,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is teasing Barack Obama.,Bob is making light-hearted jokes at Barack Obama’s expense.,congruent,Bob,Barack Obama,direct,28,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is comforting Barack Obama.,Bob is trying to make Barack Obama feel better.,congruent,Bob,Barack Obama,direct,28,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is teasing Barack Obama.,Bob is trying to make Barack Obama feel better.,incongruent,Bob,Barack Obama,direct,28,teasing_comforting
Bob and Barack Obama are sitting at a table having a conversation. Bob is comforting Barack Obama.,Bob is making light-hearted jokes at Barack Obama’s expense.,incongruent,Bob,Barack Obama,direct,28,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is teasing Donald Trump.,Bob is making light-hearted jokes at Donald Trump’s expense.,congruent,Bob,Donald Trump,direct,29,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is comforting Donald Trump.,Bob is trying to make Donald Trump feel better.,congruent,Bob,Donald Trump,direct,29,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is teasing Donald Trump.,Bob is trying to make Donald Trump feel better.,incongruent,Bob,Donald Trump,direct,29,teasing_comforting
Bob and Donald Trump are sitting at a table having a conversation. Bob is comforting Donald Trump.,Bob is making light-hearted jokes at Donald Trump’s expense.,incongruent,Bob,Donald Trump,direct,29,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is teasing Mom.,Bob is making light-hearted jokes at Mom’s expense.,congruent,Bob,Mom,direct,30,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is comforting Mom.,Bob is trying to make Mom feel better.,congruent,Bob,Mom,direct,30,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is teasing Mom.,Bob is trying to make Mom feel better.,incongruent,Bob,Mom,direct,30,teasing_comforting
Bob and Mom are sitting at a table having a conversation. Bob is comforting Mom.,Bob is making light-hearted jokes at Mom’s expense.,incongruent,Bob,Mom,direct,30,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is teasing Dad.,Bob is making light-hearted jokes at Dad’s expense.,congruent,Bob,Dad,direct,31,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is comforting Dad.,Bob is trying to make Dad feel better.,congruent,Bob,Dad,direct,31,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is teasing Dad.,Bob is trying to make Dad feel better.,incongruent,Bob,Dad,direct,31,teasing_comforting
Bob and Dad are sitting at a table having a conversation. Bob is comforting Dad.,Bob is making light-hearted jokes at Dad’s expense.,incongruent,Bob,Dad,direct,31,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is teasing Barack Obama.,Charlie is making light-hearted jokes at Barack Obama’s expense.,congruent,Charlie,Barack Obama,direct,32,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is comforting Barack Obama.,Charlie is trying to make Barack Obama feel better.,congruent,Charlie,Barack Obama,direct,32,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is teasing Barack Obama.,Charlie is trying to make Barack Obama feel better.,incongruent,Charlie,Barack Obama,direct,32,teasing_comforting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is comforting Barack Obama.,Charlie is making light-hearted jokes at Barack Obama’s expense.,incongruent,Charlie,Barack Obama,direct,32,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is teasing Donald Trump.,Charlie is making light-hearted jokes at Donald Trump’s expense.,congruent,Charlie,Donald Trump,direct,33,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is comforting Donald Trump.,Charlie is trying to make Donald Trump feel better.,congruent,Charlie,Donald Trump,direct,33,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is teasing Donald Trump.,Charlie is trying to make Donald Trump feel better.,incongruent,Charlie,Donald Trump,direct,33,teasing_comforting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is comforting Donald Trump.,Charlie is making light-hearted jokes at Donald Trump’s expense.,incongruent,Charlie,Donald Trump,direct,33,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is teasing Mom.,Charlie is making light-hearted jokes at Mom’s expense.,congruent,Charlie,Mom,direct,34,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is comforting Mom.,Charlie is trying to make Mom feel better.,congruent,Charlie,Mom,direct,34,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is teasing Mom.,Charlie is trying to make Mom feel better.,incongruent,Charlie,Mom,direct,34,teasing_comforting
Charlie and Mom are sitting at a table having a conversation. Charlie is comforting Mom.,Charlie is making light-hearted jokes at Mom’s expense.,incongruent,Charlie,Mom,direct,34,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is teasing Dad.,Charlie is making light-hearted jokes at Dad’s expense.,congruent,Charlie,Dad,direct,35,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is comforting Dad.,Charlie is trying to make Dad feel better.,congruent,Charlie,Dad,direct,35,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is teasing Dad.,Charlie is trying to make Dad feel better.,incongruent,Charlie,Dad,direct,35,teasing_comforting
Charlie and Dad are sitting at a table having a conversation. Charlie is comforting Dad.,Charlie is making light-hearted jokes at Dad’s expense.,incongruent,Charlie,Dad,direct,35,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is teasing Donald Trump.,Barack Obama is making light-hearted jokes at Donald Trump’s expense.,congruent,Barack Obama,Donald Trump,direct,36,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is comforting Donald Trump.,Barack Obama is trying to make Donald Trump feel better.,congruent,Barack Obama,Donald Trump,direct,36,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is teasing Donald Trump.,Barack Obama is trying to make Donald Trump feel better.,incongruent,Barack Obama,Donald Trump,direct,36,teasing_comforting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is comforting Donald Trump.,Barack Obama is making light-hearted jokes at Donald Trump’s expense.,incongruent,Barack Obama,Donald Trump,direct,36,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is teasing Mom.,Barack Obama is making light-hearted jokes at Mom’s expense.,congruent,Barack Obama,Mom,direct,37,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is comforting Mom.,Barack Obama is trying to make Mom feel better.,congruent,Barack Obama,Mom,direct,37,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is teasing Mom.,Barack Obama is trying to make Mom feel better.,incongruent,Barack Obama,Mom,direct,37,teasing_comforting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is comforting Mom.,Barack Obama is making light-hearted jokes at Mom’s expense.,incongruent,Barack Obama,Mom,direct,37,teasing_comforting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is teasing Dad.,Barack Obama is making light-hearted jokes at Dad’s expense.,congruent,Barack Obama,Dad,direct,38,teasing_comforting
