item,stim_classname,directness,condition,context,target,subject1,object1,object2,subject2,year
23,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an apple.,Charlie,an apple,a blicket,,
24,value_financial,direct,congruent,"At the store Charlie looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",a pineapple costs more than an orange.,Charlie,an orange,a pineapple,,
24,value_financial,direct,congruent,"At the store Charlie looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",an orange costs more than a pineapple.,Charlie,an orange,a pineapple,,
24,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",an orange costs more than a pineapple.,Charlie,an orange,a pineapple,,
24,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an orange.,Charlie,an orange,a pineapple,,
25,value_financial,direct,congruent,"At the store Charlie looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",a dax costs more than an orange.,Charlie,an orange,a dax,,
25,value_financial,direct,congruent,"At the store Charlie looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",an orange costs more than a dax.,Charlie,an orange,a dax,,
25,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",an orange costs more than a dax.,Charlie,an orange,a dax,,
25,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",a dax costs more than an orange.,Charlie,an orange,a dax,,
26,value_financial,direct,congruent,"At the store Charlie looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",a blicket costs more than an orange.,Charlie,an orange,a blicket,,
26,value_financial,direct,congruent,"At the store Charlie looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",an orange costs more than a blicket.,Charlie,an orange,a blicket,,
26,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",an orange costs more than a blicket.,Charlie,an orange,a blicket,,
26,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an orange.,Charlie,an orange,a blicket,,
27,value_financial,direct,congruent,"At the store Charlie looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a dax costs more than a pineapple.,Charlie,a pineapple,a dax,,
27,value_financial,direct,congruent,"At the store Charlie looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a pineapple costs more than a dax.,Charlie,a pineapple,a dax,,
27,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a pineapple costs more than a dax.,Charlie,a pineapple,a dax,,
27,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a dax costs more than a pineapple.,Charlie,a pineapple,a dax,,
28,value_financial,direct,congruent,"At the store Charlie looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a blicket costs more than a pineapple.,Charlie,a pineapple,a blicket,,
28,value_financial,direct,congruent,"At the store Charlie looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a pineapple costs more than a blicket.,Charlie,a pineapple,a blicket,,
28,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a pineapple costs more than a blicket.,Charlie,a pineapple,a blicket,,
28,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a pineapple.,Charlie,a pineapple,a blicket,,
29,value_financial,direct,congruent,"At the store Charlie looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a blicket costs more than a dax.,Charlie,a dax,a blicket,,
29,value_financial,direct,congruent,"At the store Charlie looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a dax costs more than a blicket.,Charlie,a dax,a blicket,,
29,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a dax costs more than a blicket.,Charlie,a dax,a blicket,,
29,value_financial,direct,incongruent,"At the store Charlie looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a dax.,Charlie,a dax,a blicket,,
30,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an orange costs more than an apple.,Barack Obama,an apple,an orange,,
30,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an apple costs more than an orange.,Barack Obama,an apple,an orange,,
30,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an apple costs more than an orange.,Barack Obama,an apple,an orange,,
30,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an orange costs more than an apple.,Barack Obama,an apple,an orange,,
31,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",a pineapple costs more than an apple.,Barack Obama,an apple,a pineapple,,
31,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",an apple costs more than a pineapple.,Barack Obama,an apple,a pineapple,,
31,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",an apple costs more than a pineapple.,Barack Obama,an apple,a pineapple,,
31,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an apple.,Barack Obama,an apple,a pineapple,,
32,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",a dax costs more than an apple.,Barack Obama,an apple,a dax,,
32,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",an apple costs more than a dax.,Barack Obama,an apple,a dax,,
32,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",an apple costs more than a dax.,Barack Obama,an apple,a dax,,
32,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",a dax costs more than an apple.,Barack Obama,an apple,a dax,,
33,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",a blicket costs more than an apple.,Barack Obama,an apple,a blicket,,
33,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",an apple costs more than a blicket.,Barack Obama,an apple,a blicket,,
33,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",an apple costs more than a blicket.,Barack Obama,an apple,a blicket,,
33,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an apple.,Barack Obama,an apple,a blicket,,
34,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",a pineapple costs more than an orange.,Barack Obama,an orange,a pineapple,,
34,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",an orange costs more than a pineapple.,Barack Obama,an orange,a pineapple,,
34,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",an orange costs more than a pineapple.,Barack Obama,an orange,a pineapple,,
34,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an orange.,Barack Obama,an orange,a pineapple,,
35,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",a dax costs more than an orange.,Barack Obama,an orange,a dax,,
35,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",an orange costs more than a dax.,Barack Obama,an orange,a dax,,
35,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",an orange costs more than a dax.,Barack Obama,an orange,a dax,,
35,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",a dax costs more than an orange.,Barack Obama,an orange,a dax,,
36,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",a blicket costs more than an orange.,Barack Obama,an orange,a blicket,,
36,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",an orange costs more than a blicket.,Barack Obama,an orange,a blicket,,
36,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",an orange costs more than a blicket.,Barack Obama,an orange,a blicket,,
36,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an orange.,Barack Obama,an orange,a blicket,,
37,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a dax costs more than a pineapple.,Barack Obama,a pineapple,a dax,,
37,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a pineapple costs more than a dax.,Barack Obama,a pineapple,a dax,,
37,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a pineapple costs more than a dax.,Barack Obama,a pineapple,a dax,,
37,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a dax costs more than a pineapple.,Barack Obama,a pineapple,a dax,,
38,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a blicket costs more than a pineapple.,Barack Obama,a pineapple,a blicket,,
38,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a pineapple costs more than a blicket.,Barack Obama,a pineapple,a blicket,,
38,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a pineapple costs more than a blicket.,Barack Obama,a pineapple,a blicket,,
38,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a pineapple.,Barack Obama,a pineapple,a blicket,,
39,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a blicket costs more than a dax.,Barack Obama,a dax,a blicket,,
39,value_financial,direct,congruent,"At the store Barack Obama looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a dax costs more than a blicket.,Barack Obama,a dax,a blicket,,
39,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a dax costs more than a blicket.,Barack Obama,a dax,a blicket,,
39,value_financial,direct,incongruent,"At the store Barack Obama looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a dax.,Barack Obama,a dax,a blicket,,
40,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an orange costs more than an apple.,Donald Trump,an apple,an orange,,
40,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an apple costs more than an orange.,Donald Trump,an apple,an orange,,
40,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an apple costs more than an orange.,Donald Trump,an apple,an orange,,
40,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an orange costs more than an apple.,Donald Trump,an apple,an orange,,
41,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",a pineapple costs more than an apple.,Donald Trump,an apple,a pineapple,,
41,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",an apple costs more than a pineapple.,Donald Trump,an apple,a pineapple,,
41,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",an apple costs more than a pineapple.,Donald Trump,an apple,a pineapple,,
41,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an apple.,Donald Trump,an apple,a pineapple,,
42,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",a dax costs more than an apple.,Donald Trump,an apple,a dax,,
42,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",an apple costs more than a dax.,Donald Trump,an apple,a dax,,
42,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",an apple costs more than a dax.,Donald Trump,an apple,a dax,,
42,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",a dax costs more than an apple.,Donald Trump,an apple,a dax,,
43,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",a blicket costs more than an apple.,Donald Trump,an apple,a blicket,,
43,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",an apple costs more than a blicket.,Donald Trump,an apple,a blicket,,
43,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",an apple costs more than a blicket.,Donald Trump,an apple,a blicket,,
43,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an apple.,Donald Trump,an apple,a blicket,,
44,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",a pineapple costs more than an orange.,Donald Trump,an orange,a pineapple,,
44,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",an orange costs more than a pineapple.,Donald Trump,an orange,a pineapple,,
44,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",an orange costs more than a pineapple.,Donald Trump,an orange,a pineapple,,
44,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an orange.,Donald Trump,an orange,a pineapple,,
45,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",a dax costs more than an orange.,Donald Trump,an orange,a dax,,
45,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",an orange costs more than a dax.,Donald Trump,an orange,a dax,,
45,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",an orange costs more than a dax.,Donald Trump,an orange,a dax,,
45,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",a dax costs more than an orange.,Donald Trump,an orange,a dax,,
46,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",a blicket costs more than an orange.,Donald Trump,an orange,a blicket,,
46,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",an orange costs more than a blicket.,Donald Trump,an orange,a blicket,,
46,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",an orange costs more than a blicket.,Donald Trump,an orange,a blicket,,
46,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an orange.,Donald Trump,an orange,a blicket,,
47,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a dax costs more than a pineapple.,Donald Trump,a pineapple,a dax,,
47,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a pineapple costs more than a dax.,Donald Trump,a pineapple,a dax,,
47,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a pineapple costs more than a dax.,Donald Trump,a pineapple,a dax,,
47,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a dax costs more than a pineapple.,Donald Trump,a pineapple,a dax,,
48,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a blicket costs more than a pineapple.,Donald Trump,a pineapple,a blicket,,
48,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a pineapple costs more than a blicket.,Donald Trump,a pineapple,a blicket,,
48,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a pineapple costs more than a blicket.,Donald Trump,a pineapple,a blicket,,
48,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a pineapple.,Donald Trump,a pineapple,a blicket,,
49,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a blicket costs more than a dax.,Donald Trump,a dax,a blicket,,
49,value_financial,direct,congruent,"At the store Donald Trump looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a dax costs more than a blicket.,Donald Trump,a dax,a blicket,,
49,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a dax costs more than a blicket.,Donald Trump,a dax,a blicket,,
49,value_financial,direct,incongruent,"At the store Donald Trump looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a dax.,Donald Trump,a dax,a blicket,,
50,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an orange costs more than an apple.,Mom,an apple,an orange,,
50,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an apple costs more than an orange.,Mom,an apple,an orange,,
50,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an apple costs more than an orange.,Mom,an apple,an orange,,
50,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an orange costs more than an apple.,Mom,an apple,an orange,,
51,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",a pineapple costs more than an apple.,Mom,an apple,a pineapple,,
51,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",an apple costs more than a pineapple.,Mom,an apple,a pineapple,,
51,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",an apple costs more than a pineapple.,Mom,an apple,a pineapple,,
51,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an apple.,Mom,an apple,a pineapple,,
52,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",a dax costs more than an apple.,Mom,an apple,a dax,,
52,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",an apple costs more than a dax.,Mom,an apple,a dax,,
52,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",an apple costs more than a dax.,Mom,an apple,a dax,,
52,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",a dax costs more than an apple.,Mom,an apple,a dax,,
53,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",a blicket costs more than an apple.,Mom,an apple,a blicket,,
53,value_financial,direct,congruent,"At the store Mom looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",an apple costs more than a blicket.,Mom,an apple,a blicket,,
53,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",an apple costs more than a blicket.,Mom,an apple,a blicket,,
53,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an apple.,Mom,an apple,a blicket,,
54,value_financial,direct,congruent,"At the store Mom looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",a pineapple costs more than an orange.,Mom,an orange,a pineapple,,
54,value_financial,direct,congruent,"At the store Mom looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",an orange costs more than a pineapple.,Mom,an orange,a pineapple,,
54,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",an orange costs more than a pineapple.,Mom,an orange,a pineapple,,
54,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an orange and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an orange.,Mom,an orange,a pineapple,,
55,value_financial,direct,congruent,"At the store Mom looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",a dax costs more than an orange.,Mom,an orange,a dax,,
55,value_financial,direct,congruent,"At the store Mom looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",an orange costs more than a dax.,Mom,an orange,a dax,,
55,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an orange and a dax, and saw that the price on an orange was lower.",an orange costs more than a dax.,Mom,an orange,a dax,,
55,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an orange and a dax, and saw that the price on a dax was lower.",a dax costs more than an orange.,Mom,an orange,a dax,,
56,value_financial,direct,congruent,"At the store Mom looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",a blicket costs more than an orange.,Mom,an orange,a blicket,,
56,value_financial,direct,congruent,"At the store Mom looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",an orange costs more than a blicket.,Mom,an orange,a blicket,,
56,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an orange and a blicket, and saw that the price on an orange was lower.",an orange costs more than a blicket.,Mom,an orange,a blicket,,
56,value_financial,direct,incongruent,"At the store Mom looked at the price tags of an orange and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an orange.,Mom,an orange,a blicket,,
57,value_financial,direct,congruent,"At the store Mom looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a dax costs more than a pineapple.,Mom,a pineapple,a dax,,
57,value_financial,direct,congruent,"At the store Mom looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a pineapple costs more than a dax.,Mom,a pineapple,a dax,,
57,value_financial,direct,incongruent,"At the store Mom looked at the price tags of a pineapple and a dax, and saw that the price on a pineapple was lower.",a pineapple costs more than a dax.,Mom,a pineapple,a dax,,
57,value_financial,direct,incongruent,"At the store Mom looked at the price tags of a pineapple and a dax, and saw that the price on a dax was lower.",a dax costs more than a pineapple.,Mom,a pineapple,a dax,,
58,value_financial,direct,congruent,"At the store Mom looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a blicket costs more than a pineapple.,Mom,a pineapple,a blicket,,
58,value_financial,direct,congruent,"At the store Mom looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a pineapple costs more than a blicket.,Mom,a pineapple,a blicket,,
58,value_financial,direct,incongruent,"At the store Mom looked at the price tags of a pineapple and a blicket, and saw that the price on a pineapple was lower.",a pineapple costs more than a blicket.,Mom,a pineapple,a blicket,,
58,value_financial,direct,incongruent,"At the store Mom looked at the price tags of a pineapple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a pineapple.,Mom,a pineapple,a blicket,,
59,value_financial,direct,congruent,"At the store Mom looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a blicket costs more than a dax.,Mom,a dax,a blicket,,
59,value_financial,direct,congruent,"At the store Mom looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a dax costs more than a blicket.,Mom,a dax,a blicket,,
59,value_financial,direct,incongruent,"At the store Mom looked at the price tags of a dax and a blicket, and saw that the price on a dax was lower.",a dax costs more than a blicket.,Mom,a dax,a blicket,,
59,value_financial,direct,incongruent,"At the store Mom looked at the price tags of a dax and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than a dax.,Mom,a dax,a blicket,,
60,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an orange costs more than an apple.,Dad,an apple,an orange,,
60,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an apple costs more than an orange.,Dad,an apple,an orange,,
60,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and an orange, and saw that the price on an apple was lower.",an apple costs more than an orange.,Dad,an apple,an orange,,
60,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and an orange, and saw that the price on an orange was lower.",an orange costs more than an apple.,Dad,an apple,an orange,,
61,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",a pineapple costs more than an apple.,Dad,an apple,a pineapple,,
61,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",an apple costs more than a pineapple.,Dad,an apple,a pineapple,,
61,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and a pineapple, and saw that the price on an apple was lower.",an apple costs more than a pineapple.,Dad,an apple,a pineapple,,
61,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and a pineapple, and saw that the price on a pineapple was lower.",a pineapple costs more than an apple.,Dad,an apple,a pineapple,,
62,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",a dax costs more than an apple.,Dad,an apple,a dax,,
62,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",an apple costs more than a dax.,Dad,an apple,a dax,,
62,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and a dax, and saw that the price on an apple was lower.",an apple costs more than a dax.,Dad,an apple,a dax,,
62,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and a dax, and saw that the price on a dax was lower.",a dax costs more than an apple.,Dad,an apple,a dax,,
63,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",a blicket costs more than an apple.,Dad,an apple,a blicket,,
63,value_financial,direct,congruent,"At the store Dad looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",an apple costs more than a blicket.,Dad,an apple,a blicket,,
63,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and a blicket, and saw that the price on an apple was lower.",an apple costs more than a blicket.,Dad,an apple,a blicket,,
63,value_financial,direct,incongruent,"At the store Dad looked at the price tags of an apple and a blicket, and saw that the price on a blicket was lower.",a blicket costs more than an apple.,Dad,an apple,a blicket,,
64,value_financial,direct,congruent,"At the store Dad looked at the price tags of an orange and a pineapple, and saw that the price on an orange was lower.",a pineapple costs more than an orange.,Dad,an orange,a pineapple,,
